epoch: 175; mse: 0.01084; latent: 0.029; avg mse: 0.00952; lr: 0.00030: 100%|██████████| 782/782 [01:30<00:00,  8.67it/s]
epoch: 176; mse: 0.00799; latent: 0.021; avg mse: 0.00952; lr: 0.00030: 100%|██████████| 782/782 [01:29<00:00,  8.69it/s]
epoch: 177; mse: 0.00999; latent: 0.028; avg mse: 0.00952; lr: 0.00030: 100%|██████████| 782/782 [01:29<00:00,  8.70it/s]
epoch: 178; mse: 0.01025; latent: 0.027; avg mse: 0.00954; lr: 0.00030: 100%|██████████| 782/782 [01:30<00:00,  8.66it/s]
epoch: 179; mse: 0.01021; latent: 0.027; avg mse: 0.00952; lr: 0.00030: 100%|██████████| 782/782 [01:30<00:00,  8.67it/s]
epoch: 180; mse: 0.01333; latent: 0.034; avg mse: 0.00954; lr: 0.00030: 100%|██████████| 782/782 [01:30<00:00,  8.68it/s]
epoch: 181; mse: 0.00834; latent: 0.022; avg mse: 0.00952; lr: 0.00030: 100%|██████████| 782/782 [01:37<00:00,  8.00it/s]
epoch: 182; mse: 0.00882; latent: 0.023; avg mse: 0.00951; lr: 0.00030: 100%|██████████| 782/782 [01:50<00:00,  7.08it/s]
epoch: 183; mse: 0.00919; latent: 0.025; avg mse: 0.00955; lr: 0.00030: 100%|██████████| 782/782 [01:39<00:00,  7.87it/s]
epoch: 184; mse: 0.00895; latent: 0.024; avg mse: 0.00952; lr: 0.00030: 100%|██████████| 782/782 [01:39<00:00,  7.87it/s]
epoch: 185; mse: 0.00856; latent: 0.022; avg mse: 0.00951; lr: 0.00030: 100%|██████████| 782/782 [01:39<00:00,  7.85it/s]
epoch: 186; mse: 0.00857; latent: 0.025; avg mse: 0.00952; lr: 0.00030: 100%|██████████| 782/782 [01:39<00:00,  7.86it/s]
